Species,Model,kap,v,z,p_Am,p_M,E_G,s_M,L_b,L_m,L_j,L_i,L_p,l_i,n_HE,n_OE,n_NE,n_CX,n_HX,n_OX,n_NX,n_CV,n_HV,n_OV,n_NV,n_CE,n_CP,n_HP,n_OP,n_NP,eta_PA,eta_XA,eta_VG,k_J,kap_R,E_Hb,E_Hp,E_Hj,n_NN,n_CN,n_HN,n_ON,mu_E,T_A,T_ref,p_T,L_s,L_x
Zygochlamys_patagonica,abj,0.9431,0.020238,1.4811,64.7878777542148,41.2541,2342.3878,1.42020900326188,0.0120703134860793,1.4811,0.0171423678851231,2.10347155473117,1.10303192628674,1.42020900326188,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60762892317363e-06,0.002,0.95,0.0002509,423.675,0.000722,1,0,3,0,550000,9000,293.15,0,NaN,NaN
Patinopecten_caurinus,abj,0.83182,0.020238,2.5202,124.989279916328,41.2541,2345.8562,1.30711650587605,0.0100734765059537,2.5202,0.0131672074124867,3.29419501810883,1.49929700266972,1.30711650587605,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60525200844324e-06,0.002,0.95,0.0004883,3800,0.001093,1,0,3,0,550000,9000,293.15,0,NaN,NaN
Mimachlamys_asperrima,abj,0.68589,0.020478,0.44908,11.8481196285119,18.0959,2353.8023,8.8776292744149,0.00503915034277346,0.44908,0.0447357086011835,3.98676575455424,1.97874891926932,8.8776292744149,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.59983290719405e-06,0.002,0.95,0.0001383,13520,0.09745,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Mimachlamys_varia,abj,0.99995,0.018024,0.30124,7.03969818090904,23.3679,2361.0006,9.84933193593189,0.00515158958298811,0.30124,0.0507397158005388,2.96701275238012,2.04376896304407,9.84933193593189,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.59495528148914e-06,0.002,0.95,1.621e-08,2.103,1.567e-05,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Magallana_gigas,asj,0.25171,0.0039043,1.3075,100.792453617258,19.4038,2374,4.94916989514853,0.00297442979281794,1.3075,0.0147966990919369,6.4710396379067,0.0694516672622972,4.94916989514853,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,1.45686304592411e-06,5.84462075717062e-06,1.58622172559774e-06,0.002,0.95,0.0001865,2.419,0.02302,1,0,3,0,550000,8000,293.15,0,0.00298973351196561,NaN
Crassostrea_corteziensis,abj,0.58127209130673,0.02556,0.198944138919973,8.71389385862549,25.4601283261007,2334.81915756233,10.3693732122323,0.00290316290988943,0.198944138919973,0.0301039797085539,2.06292602484739,0.257339829392653,10.3693732122323,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.6128402768892e-06,0.002,0.95,4.12537957207705e-05,31.2613400415093,0.0464854924883576,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Crassostrea_virginica,abj,0.68103,0.021986,1.8681,11.4267274128893,4.1657,2315.0631,3.85925311436727,0.010475780536428,1.8681,0.0404286886606379,7.20947074294949,0.938690472946817,3.85925311436727,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.62660377445826e-06,0.00054437,0.95,0.001248,974,0.07197,1,0,3,0,550000,4558.7626,293.15,0,NaN,NaN
Ostrea_edulis,asj,0.95378,0.019655,1.2119,18.2998450166705,14.4022,2392.32,10.0221905493033,0.00934715952727452,1.2119,0.229871813755499,12.1458927267007,0.90100323704303,10.0221905493033,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.57407469593074e-06,0.002,0.95,9.494e-05,89.34,1.435,1,0,3,0,550000,8000,293.15,0,0.022936284500346,NaN
Ostrea_chilensis,abj,0.99533,0.013814,1.1548,54.6398969186099,47.0945,2344.9921,2.64976277621385,0.0116006363319388,1.1548,0.0307389343327654,3.05994605397175,0.676267946823359,2.64976277621385,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60584352355346e-06,0.002,0.95,1.743e-05,6.065,0.0003272,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Saccostrea_cuccullata,abj,0.98,0.0049753,2.0095,41.0877133673469,20.0378,2344.5621,1.00008282377429,0.00939352587590463,2.0095,0.0093943038831716,2.00966643437444,0.149506437969852,1.00008282377429,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60613804026306e-06,0.0025144,0.95,4.005e-05,0.2179,4.006e-05,1,0,3,0,550000,8000,293.15,0,NaN,NaN
